id,X,Y,NN
379,28.8670968,-2.4972228,147
380,28.8748243,-2.4978658,157
381,28.8559467,-2.4870426,146
382,28.8593413,-2.5417572,151
383,28.866034,-2.5431832,152
384,30.1035275,-1.9410296,143
385,30.0646023,-1.9434288,157
386,30.0595449,-1.9477632,154
387,30.0585099,-1.9411848,139
388,30.0595921,-1.9445235,155
389,30.0562622,-1.9421606,145
390,30.0885077,-2.1420297,134
391,30.0866194,-2.1406467,153
392,30.0836153,-2.1401964,152
393,29.2527012,-1.6915342,144
394,29.6844823,-2.564622,220
395,30.0817286,-1.954729,147
396,30.083869,-1.9509815,151
397,30.0737096,-1.9326535,134
398,29.3476601,-2.0617513,152
399,29.4506631,-1.5061279,422
400,30.0429005,-1.9053022,156
401,29.748151,-2.5911052,177
402,29.7391369,-2.6059392,170
403,29.753031,-2.0868551,183
404,29.3570756,-2.0673715,142
405,30.092958,-1.9474594,147
406,30.0782269,-1.9724037,151
407,29.7388843,-2.6137471,167
408,29.7437398,-2.5921302,181
409,29.7434667,-2.5919104,178
410,29.7431404,-2.5956233,177
411,29.7440358,-2.5914904,160
412,30.0889784,-1.9450025,153
413,30.1308284,-1.9452364,150
414,30.1309973,-1.9454433,145
415,30.0736294,-1.9321314,143
416,30.103086,-1.9535545,139
417,30.1093345,-1.9591702,138
418,30.0886093,-1.9682229,133
419,30.1093531,-1.9590925,141
420,30.1094631,-1.9591729,143
421,30.113098,-1.9612964,154
422,30.109455,-1.9590925,145
423,30.0604625,-1.9523588,147
424,30.0771778,-1.970228,137
425,30.1018374,-1.9678053,150
426,30.0582802,-1.9470783,142
427,30.1022854,-1.9671298,148
428,30.0782818,-1.9700556,157
429,30.1153104,-1.9574189,142
430,30.0638152,-1.9487165,144
431,30.1150529,-1.9569632,160
432,30.057626,-1.9523359,152
433,30.0599813,-1.9503348,149
434,30.0610553,-1.950184,149
435,30.0512169,-1.9781261,144
436,30.06094,-1.9496827,154
437,30.0544621,-1.9737514,143
438,30.0613637,-1.948715,162
439,30.1135279,-1.9604057,149
440,30.0636727,-1.9445512,146
441,30.1087845,-1.959315,145
442,30.0609656,-1.9487766,160
443,30.0543119,-1.973939,149
444,30.0928711,-1.9471407,142
445,30.0542475,-1.9739015,160
446,30.1086182,-1.9594946,149
447,30.0607665,-1.9438184,162
448,30.0755208,-1.9525447,151
449,30.0621867,-1.9448889,159
450,30.0931984,-1.9509365,158
451,30.0545962,-1.9736174,158
452,30.0557871,-1.97247,154
453,30.1118005,-1.9615745,151
454,30.1110243,-1.9585287,143
455,30.0929962,-1.9508422,146
456,30.0929105,-1.95096,146
457,30.0931823,-1.9508346,149
458,30.0951714,-1.9534191,150
459,30.0616829,-1.9477071,149
460,30.0573105,-1.9693203,143
461,30.1039387,-1.9825953,150
462,30.1087696,-1.9632258,154
463,30.059943,-1.9647942,163
464,30.0966048,-1.9529765,141
465,30.096755,-1.9526575,154
466,30.0626615,-1.9562469,145
467,30.0602068,-1.9466349,143
468,30.0594923,-1.9647379,149
469,30.1047782,-1.9805982,153
470,30.0585447,-1.9468252,161
471,30.0984072,-1.9508748,142
472,30.0982812,-1.9508695,141
473,30.0636164,-1.9634832,149
474,30.0629929,-1.9655341,161
475,30.0559706,-1.9752214,156
476,30.0542647,-1.9758648,163
477,30.0636008,-1.9307826,150
478,30.0648027,-1.9303055,148
479,30.0620642,-1.9343506,136
480,30.1259984,-1.9702144,142
481,30.1258542,-1.9688684,145
482,30.0591536,-1.9432829,144
483,30.0597422,-1.9428986,157
484,30.0702226,-1.9627313,141
485,30.047692,-1.9781503,158
486,30.057656,-1.9686564,157
487,30.0578053,-1.968448,156
488,30.0594786,-1.9437009,142
489,30.0597522,-1.9438031,160
490,30.0491458,-1.9787186,168
491,30.0598492,-1.9461854,151
492,30.0512647,-1.9766974,163
493,30.0518441,-1.9762041,151
494,30.0825833,-1.9499744,135
495,30.0525844,-1.9770405,162
496,30.0782016,-1.946461,134
497,30.0737382,-1.9326861,141
498,30.0737784,-1.932804,132
499,30.0778877,-1.934517,152
500,30.0788051,-1.9340264,151
501,30.0754559,-1.9326344,151
502,30.0740022,-1.9325567,136
503,29.7639068,-2.0806842,186
504,30.3842783,-1.7662889,147
505,30.3846215,-1.7666399,146
506,30.3840739,-1.7666761,163
507,30.3875394,-1.7733275,155
508,29.804361,-2.0501596,177
509,29.2651467,-1.7241035,158
510,29.2385033,-1.6862296,158
511,29.2377762,-1.6870614,143
512,28.8751656,-2.506309,146
513,28.8756076,-2.5063961,144
514,28.9660598,-2.5095407,201
515,28.9656173,-2.5098799,196
516,28.8489621,-2.5066169,169
517,29.2281261,-1.6792571,151
518,28.9014156,-2.6418352,139
519,30.054023,-1.9738758,151
520,30.1061252,-1.946185,145
521,29.6321173,-1.5007507,185
522,29.632854,-1.5007353,182
523,29.6360143,-1.5505289,163
524,29.6355104,-1.5036422,183
525,29.6287548,-1.5025355,193
526,29.6327337,-1.5040984,189
527,29.6304134,-1.5036874,190
528,29.6309398,-1.4994939,192
529,29.6327104,-1.5001733,177
530,29.6349935,-1.5043149,187
531,29.6267388,-1.4983511,182
532,29.6256911,-1.4989635,193
533,29.6324498,-1.5007881,179
534,29.6338549,-1.5044625,184
535,29.2767207,-1.6890264,152
536,29.6412635,-1.5503636,170
537,30.1235299,-1.9507881,143
538,30.0971824,-1.9254398,140
539,30.0766177,-1.971235,154
540,30.0972734,-1.9253857,143
541,30.1203652,-1.9533641,157
542,30.1314158,-1.9410303,138
543,30.1086255,-1.9601494,141
544,30.1073227,-1.9607941,156
545,30.1086278,-1.933393,144
546,30.107917,-1.9323399,146
547,30.0634964,-1.954761,157
548,30.0604818,-1.9612047,148
549,30.0778578,-1.9737667,149
550,30.1114654,-1.9581971,155
551,30.1322202,-1.9359527,151
552,30.1348703,-1.9323445,140
553,30.130111,-1.936531,146
554,30.1295891,-1.9372635,152
555,30.1093305,-1.929367,143
556,30.1298225,-1.9424722,156
557,30.0776969,-1.971397,155
558,30.1105296,-1.9583364,151
559,29.08249,-2.65045,151
560,29.08861,-2.65702,154
561,29.20032,-2.24433,146
562,29.21822,-2.63268,182
563,29.58372,-2.82187,186
564,29.26226,-1.7011864,152
565,30.081266,-1.9526297,134
566,30.0852215,-1.9398257,140
567,30.0896132,-1.9444896,153
568,30.1198496,-1.960301,144
569,30.0769271,-1.9707829,142
570,30.1116147,-1.9584939,137
571,30.1113357,-1.9583009,150
572,30.1114323,-1.9584832,154
573,30.1166519,-1.9595501,142
574,30.0791149,-1.9699,142
575,30.109147,-1.96044,139
576,30.1095601,-1.9602363,153
577,30.1093294,-1.9603274,138
578,30.1032357,-1.9684337,138
579,29.1998942,-2.4783619,221
580,29.1042587,-2.4473541,193
581,30.0914364,-1.9470304,153
582,30.6461014,-1.6018657,168
583,30.7050922,-1.7754085,159
584,30.6450559,-1.5937147,166
585,30.5467728,-1.4437391,124
586,30.7170713,-1.90655,139
587,30.7446515,-1.8716912,124
588,30.6650068,-1.5499057,162
589,29.7390246,-2.6047469,183
590,29.7371868,-2.6097233,173
591,29.7384702,-2.6067843,175
592,29.7382629,-2.6069126,175
593,30.442456,-1.9477617,143
594,30.4414228,-1.9002088,146
595,30.4355987,-1.953738,144
596,30.4339218,-1.9511127,149
597,30.4418835,-1.9469256,146
598,30.4430548,-1.9486961,160
599,30.4543691,-1.8876743,162
600,30.4542777,-1.8876516,157
601,30.4425413,-1.9138898,160
602,30.4514465,-1.8879582,161
603,30.5063979,-1.9017149,164
604,30.5060055,-1.9020943,159
605,30.5078019,-1.9001937,150
606,30.5081989,-1.9009813,155
607,30.5079672,-1.9002136,160
608,30.5031944,-1.9018433,157
609,30.5583547,-2.0125598,172
610,30.5577511,-2.0119054,163
611,30.5575804,-2.0114732,159
612,30.4430481,-1.9481964,160
613,30.4419447,-1.9470574,145
614,30.4366337,-1.9556508,155
615,30.4386404,-1.9505098,162
616,30.0657647,-1.9296904,132
617,30.4836997,-1.84098,152
618,30.4559085,-1.8757013,143
619,30.7798949,-2.3836157,143
620,30.6530688,-2.2675985,165
621,30.4266433,-1.8620217,146
622,30.6921224,-1.4994571,125
623,30.0806733,-1.9656945,131
624,30.0809342,-1.9657365,147
625,29.6630157,-1.3559823,226
626,29.636526,-1.56087,173
627,30.5012323,-1.80097,151
628,30.501903,-1.801732,170
629,30.5048002,-1.7986706,161
630,30.5007031,-1.8013989,160
631,30.5030208,-1.7971695,156
632,30.502195,-1.8005047,154
633,30.5017114,-1.8018323,152
634,30.506751,-1.7939392,167
635,30.4722743,-1.7879506,165
636,30.5014605,-1.8007693,170
637,30.5009404,-1.8012438,157
638,30.5021631,-1.8002446,151
639,30.5008719,-1.8012849,156
640,30.5007807,-1.8013396,169
641,30.501497,-1.8007191,164
642,30.5013418,-1.8008788,159
643,30.5006255,-1.8014628,158
644,30.5007715,-1.8018232,165
645,30.5051332,-1.7985337,156
646,30.5043302,-1.7995238,152
647,30.5018118,-1.8017913,170
648,30.501789,-1.8002674,167
649,30.5017114,-1.8004408,150
650,30.501497,-1.8019327,160
651,30.5012917,-1.801992,170
652,30.5187389,-1.8170427,169
653,30.4722031,-1.7884557,161
654,30.501757,-1.8003496,155
655,30.5016703,-1.8005138,167
656,30.5016338,-1.8005594,167
657,30.5015928,-1.8006187,153
658,30.5022361,-1.8006324,159
659,30.5015563,-1.8006644,169
660,30.5014148,-1.8008195,153
661,30.5013647,-1.800856,156
662,30.5012917,-1.8009335,159
663,30.5020502,-1.8007546,153
664,30.5011867,-1.8010111,153
665,30.5011502,-1.801043,165
666,30.5021266,-1.8010795,170
667,30.5011229,-1.8011024,162
668,30.5010681,-1.8011389,159
669,30.5010179,-1.8011662,169
670,30.5009769,-1.8012164,155
671,30.500548,-1.8015084,162
672,30.5020901,-1.8016498,160
673,30.5008537,-1.801878,170
